username,replied_to_username,location,verified,created_at,text
LASportsRadio, , ,False,2018-11-19 15:52:15+00:00,"Michael Jordan has more 50-point playoff games than: 
- LeBron James
- Wilt Chamberlain
- Kareem Abdul-Jabbar
- Larry Bird
- Magic Johnson
- Shaquille O’Neal
- Tim Duncan
- Kevin Durant
- James Harden
- Stephen Curry
- Russell Westbrook
- Kobe Bryant
COMBINED. 🐐"
ZacharyLowNBA,okcthunder, ,False,2018-11-19 15:47:35+00:00,"@okcthunder @SacramentoKings @Golden1Center @FOXSportsOK @sportsanimal According to tonight’s official game notes, the Thunder’s injury report is the same as Saturday’s:

Alex Abrines (illness) is OUT.
Terrance Ferguson (personal) is OUT.
Andre Roberson (left patellar tendon) is OUT.
Russell Westbrook (personal) is OUT.

This is subject to change."
fantasybballbot, , ,False,2018-11-19 15:11:42+00:00,"team with Russell westbrook, Garfield, captin crunch, stewie, and Damian Bates"
sharonswetland, , ,False,2018-11-19 14:42:29+00:00,Russell Westbrook
Dave_Essler, , ,False,2018-11-19 14:42:25+00:00,"No Russell Westbrook again tonight for OKC. Gimme my home underdog, Sactown."
NBAMilestoneFan, , ,False,2018-11-19 13:20:03+00:00,Russell Westbrook (OKC) is 34 pts away from moving up to 83 on the All-Time Scoring List
bayless_ebooks, , ,False,2018-11-19 13:16:18+00:00,Celts are a legit AFC contender because of Russell Westbrook has brought the Browns.
Jawsh22, , ,False,2018-11-19 13:12:54+00:00,"I think it would be so cool to see Kevin Durant, Russell Westbrook, and James Harden all on the same team...imagine that?"
joaquinbilbaoiv,DanBesbris, ,False,2018-11-19 13:08:19+00:00,"@DanBesbris Trading Jimmy Butler, R Gay for Russell Westbrook Fournier H2H whatcha think? Could be a big mistake though"
cofa_71,Herev89, ,False,2018-11-19 12:04:25+00:00,@Herev89 @TrashTalk_fr Westbrick ?
TReese82, , ,False,2018-11-19 11:49:45+00:00,(SAT.) NBA DEN-OKC PICK: The Nuggets visit the Thunder in Key NW Division battle in OKC! The Thunder win this one thanks to star G Russell Westbrook: THUNDER 118-113
SeaGreenMonkeys,russwest44, ,False,2018-11-19 11:19:20+00:00,@russwest44 @ninaamarie_w And on Russell Westbrook day too! Congrats Brodie
MaLLoThaPrince,justdonnei, ,False,2018-11-19 11:07:52+00:00,@justdonnei Russell Westbrook
fantasybballbot, , ,False,2018-11-19 09:11:41+00:00,"team with kobe bryant, derrick rose, blake griffin, Caleb Barnes, and Russell westbrook"
